,spotify_url,preview_url,artists,added_at,album,duration,name,popularity,genre
29,https://open.spotify.com/track/2T93MtJuKMzcGRTR8fdizV,https://p.scdn.co/mp3-preview/757f71f94b11a870fef83a6457ae58d83de5e00f?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""100 gecs"",""Charli XCX"",""Rico Nasty"",""Kero Kero Bonito""]",2020-09-20T01:13:34Z,0qnExDZfz0kVeBjixPsyjS,214529,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",61,japanese electropop
30,https://open.spotify.com/track/56JcHvg7W4cCs6fQEOz2gW,https://p.scdn.co/mp3-preview/7280920908c76688180d4a12db999aa8f01fe2e2?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Kero Kero Bonito""]",2020-10-07T20:54:29Z,3s3PEd50fVx2qXMNgPy0uD,115352,"I\""d Rather Sleep",66,japanese electropop
31,https://open.spotify.com/track/1dbcjcCKeAc7Q9uz4wcLRZ,https://p.scdn.co/mp3-preview/b0b765da1957e0f10ed5a747fbb72b8c1b858c03?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Tim Legend"",""Naomi Wild""]",2020-12-12T23:57:42Z,3OkDUiBbjn9QHPqcAMnSX0,173931,Hope,53,indie electropop
32,https://open.spotify.com/track/5fo4LbJ8lOaB54wcM5wPMv,https://p.scdn.co/mp3-preview/94d49c209490d5c765b9d58b3ab01c5f7663dcd9?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Terror Jr""]",2020-12-13T00:01:31Z,5hejwRvyklqZbpNfkAMjff,171844,Come First,52,indie electropop
33,https://open.spotify.com/track/3stWWPN41byqp8loPdy92u,https://p.scdn.co/mp3-preview/3d49ee47dd3e09992e9faa620024f269232d4d35?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Beach House""]",2020-10-19T19:28:35Z,32bJgeIOAFiNkucTCje5O5,199413,Master of None,64,modern dream pop
34,https://open.spotify.com/track/6hIOunhsLUT66KQgZV5dMD,https://p.scdn.co/mp3-preview/d24c7fbb9e85043bc25635ff1ba7fd92a9228f91?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Harmless""]",2020-10-19T08:45:04Z,79zUXfErg2kVJQxQ7ypEZ8,321463,Swing Lynn,74,modern dream pop
35,https://open.spotify.com/track/3Q5cLvkKsHJvYltf8k7HkO,https://p.scdn.co/mp3-preview/a9c72299369fe8e1a38c2f673c66b853196cb959?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Ty Dolla $ign"",""FKA twigs"",""Skrillex"",""Kanye West""]",2021-01-10T09:44:43Z,1zg6QT0eGqLBlhAT2FPoFj,231618,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",77,escape room
36,https://open.spotify.com/track/4BZYq5y27t9l02IyLElK6V,https://p.scdn.co/mp3-preview/bb06ce73061f3031f4ebf9b180ae2964571c51e1?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Ecco2k"",""Thaiboy Digital"",""Bladee""]",2020-10-19T08:20:24Z,2coNG13rwtzL6AVPmzcoty,120000,Western Union,61,escape room
37,https://open.spotify.com/track/2T93MtJuKMzcGRTR8fdizV,https://p.scdn.co/mp3-preview/757f71f94b11a870fef83a6457ae58d83de5e00f?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""100 gecs"",""Charli XCX"",""Rico Nasty"",""Kero Kero Bonito""]",2020-09-20T01:13:34Z,0qnExDZfz0kVeBjixPsyjS,214529,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",61,escape room
38,https://open.spotify.com/track/56JcHvg7W4cCs6fQEOz2gW,https://p.scdn.co/mp3-preview/7280920908c76688180d4a12db999aa8f01fe2e2?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Kero Kero Bonito""]",2020-10-07T20:54:29Z,3s3PEd50fVx2qXMNgPy0uD,115352,"I\""d Rather Sleep",66,escape room
39,https://open.spotify.com/track/4hie5sbZpqiMzzZY25dOVp,https://p.scdn.co/mp3-preview/52ce4606a5e62bce85c85b5c27ac1e342cc86349?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Deaton Chris Anthony"",""Clairo"",""Coco & Clair Clair""]",2020-10-19T08:45:14Z,0W8gtgyXuQdAHV4xBSUEzU,170638,"RACECAR (feat. Clairo, Coco & Clair Clair)",61,escape room
40,https://open.spotify.com/track/4orMsymF399H3xKBc0AIhx,https://p.scdn.co/mp3-preview/f819eac27268105fffad817ce953e1f4c84b0eb7?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Machine Girl""]",2020-10-19T08:45:53Z,1xbcqJ0EAMxyGyffMzO8rL,185521,Ghost,59,escape room
